date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-18, 09:56:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:56:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:57:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
